countMean,phasePercent
72.0,18.0
54.0,13.5
65.0,16.25
64.0,16.0
68.0,17.0
44.0,11.0
18.0,4.5
9.0,2.25
6.0,1.5
91.0,26.69
46.0,13.489999999999998
53.0,15.540000000000001
72.0,21.11
41.0,12.02
19.0,5.57
7.0,2.0500000000000003
5.0,1.47
7.0,2.0500000000000003
54.0,20.22
48.0,17.98
49.0,18.35
62.0,23.22
43.0,16.1
9.0,3.37
2.0,0.75
67.0,17.4
33.0,8.57
45.0,11.690000000000001
87.0,22.6
76.0,19.74
42.0,10.91
16.0,4.16
9.0,2.34
10.0,2.6
79.0,23.72
57.0,17.119999999999997
60.0,18.02
41.0,12.31
44.0,13.209999999999999
32.0,9.610000000000001
16.0,4.8
4.0,1.2
63.0,16.07
69.0,17.599999999999998
73.0,18.62
66.0,16.84
50.0,12.76
43.0,10.97
13.0,3.32
5.0,1.28
10.0,2.55
49.0,13.100000000000001
41.0,10.96
62.0,16.580000000000002
81.0,21.66
56.0,14.97
36.0,9.629999999999999
19.0,5.08
20.0,5.35
10.0,2.67
96.0,25.0
71.0,18.490000000000002
56.0,14.580000000000002
50.0,13.020000000000001
45.0,11.72
35.0,9.11
17.0,4.43
9.0,2.34
5.0,1.3
39.0,16.25
38.0,15.83
33.0,13.750000000000002
39.0,16.25
39.0,16.25
37.0,15.42
10.0,4.17
5.0,2.08
46.0,12.33
46.0,12.33
54.0,14.48
66.0,17.69
54.0,14.48
50.0,13.4
26.0,6.97
20.0,5.36
11.0,2.9499999999999997
40.0,12.049999999999999
46.0,13.86
52.0,15.659999999999998
73.0,21.990000000000002
52.0,15.659999999999998
36.0,10.84
20.0,6.02
8.0,2.41
5.0,1.51
65.0,14.19
67.0,14.63
83.0,18.12
62.0,13.54
75.0,16.38
53.0,11.57
26.0,5.680000000000001
16.0,3.49
11.0,2.4
66.0,17.65
58.0,15.509999999999998
60.0,16.04
63.0,16.84
58.0,15.509999999999998
34.0,9.09
19.0,5.08
10.0,2.67
6.0,1.6
32.0,9.73
48.0,14.59
44.0,13.370000000000001
54.0,16.41
59.0,17.93
46.0,13.98
22.0,6.69
13.0,3.95
11.0,3.34
62.0,16.1
51.0,13.25
59.0,15.32
54.0,14.030000000000001
54.0,14.030000000000001
49.0,12.73
32.0,8.309999999999999
11.0,2.86
13.0,3.38
49.0,16.84
41.0,14.09
49.0,16.84
61.0,20.96
48.0,16.49
22.0,7.5600000000000005
6.0,2.06
8.0,2.75
7.0,2.41
65.0,18.73
60.0,17.29
48.0,13.83
56.0,16.14
59.0,17.0
29.0,8.36
12.0,3.46
10.0,2.88
8.0,2.31
44.0,11.43
64.0,16.619999999999997
66.0,17.14
79.0,20.52
61.0,15.840000000000002
35.0,9.09
17.0,4.42
10.0,2.6
9.0,2.34
68.0,15.21
62.0,13.87
74.0,16.55
79.0,17.669999999999998
67.0,14.99
48.0,10.74
32.0,7.16
10.0,2.2399999999999998
7.0,1.5699999999999998
73.0,29.2
37.0,14.799999999999999
40.0,16.0
44.0,17.599999999999998
34.0,13.600000000000001
12.0,4.8
9.0,3.5999999999999996
0.0,0.0
1.0,0.4
79.0,21.07
57.0,15.2
52.0,13.87
48.0,12.8
49.0,13.07
40.0,10.67
20.0,5.33
17.0,4.53
13.0,3.47
61.0,17.84
73.0,21.349999999999998
54.0,15.790000000000001
58.0,16.96
39.0,11.4
23.0,6.7299999999999995
14.0,4.09
4.0,1.17
16.0,4.68
86.0,21.61
60.0,15.079999999999998
53.0,13.320000000000002
75.0,18.84
49.0,12.31
42.0,10.549999999999999
23.0,5.779999999999999
7.0,1.76
3.0,0.75
102.0,21.7
63.0,13.4
56.0,11.91
82.0,17.45
64.0,13.62
49.0,10.43
24.0,5.11
11.0,2.34
19.0,4.04
42.0,10.530000000000001
51.0,12.78
58.0,14.540000000000001
69.0,17.29
85.0,21.3
48.0,12.030000000000001
24.0,6.02
9.0,2.26
13.0,3.26
63.0,18.48
57.0,16.72
59.0,17.299999999999997
64.0,18.77
32.0,9.379999999999999
33.0,9.68
23.0,6.74
2.0,0.59
8.0,2.35
56.0,16.23
53.0,15.36
55.0,15.939999999999998
70.0,20.29
47.0,13.62
28.0,8.12
10.0,2.9000000000000004
12.0,3.4799999999999995
14.0,4.06
58.0,16.619999999999997
57.0,16.33
62.0,17.77
69.0,19.77
43.0,12.32
35.0,10.03
11.0,3.15
6.0,1.72
8.0,2.29
60.0,16.439999999999998
64.0,17.53
56.0,15.340000000000002
60.0,16.439999999999998
48.0,13.15
34.0,9.32
22.0,6.03
8.0,2.19
13.0,3.56
48.0,14.37
53.0,15.870000000000001
52.0,15.57
73.0,21.86
54.0,16.17
29.0,8.68
18.0,5.390000000000001
6.0,1.7999999999999998
1.0,0.3
37.0,12.33
45.0,15.0
52.0,17.330000000000002
69.0,23.0
53.0,17.669999999999998
25.0,8.33
11.0,3.6700000000000004
8.0,2.67
57.0,17.119999999999997
51.0,15.32
52.0,15.620000000000001
49.0,14.71
49.0,14.71
41.0,12.31
15.0,4.5
11.0,3.3000000000000003
8.0,2.4
